"","GAME_PLAYED","WIN_RATE","ON_FIRE","ELIS","OBJ_KILLS","OBJ_TIME","DAMAGE","DEATH","SOLO_KILLS","FINAL_BLOWS","BLOCKED","CHARGE","ULT","FIRE","ED","VOTING_CARDS","MEDALS","GOLD","SILVER","BRONZE","PLAYER_ID","WIN","LOSS"
"273",7,0.5714,"13.7%","19.86 ","6.86 ","01:38 ","12,679 ","8.14 ","0.71 ","44% ","17,095 ","3.14 ","4.71 ","8.00 ",2.44,"0.43 ",3,"1.14 ","1.00 ","0.71 ","Dekest-2232",4,3
"274",11,0.4545,"11.9%","22.27 ","8.55 ","02:43 ","12,619 ","8.18 ","0.36 ","47% ","22,811 ","3.09 ","3.55 ","7.91 ",2.72,"0.73 ",2.64,"0.82 ","0.91 ","0.82 ","LmAzoOoz-2575",5,6
"275",3,0.6667,"8.3%","18.00 ","5.67 ","02:02 ","11,025 ","7.67 ","0.00 ","44% ","19,623 ","3.00 ","3.67 ","9.00 ",2.35,"0.00 ",2.67,"0.67 ","1.67 ","0.33 ","LmAzoOoz-2575",2,1
"276",3,0.6667,"1.5%","30.00 ","14.33 ","04:34 ","18,377 ","12.33 ","1.33 ","44% ","45,382 ","4.00 ","5.67 ","10.33 ",2.43,"1.00 ",3,"1.00 ","1.33 ","0.67 ","LmAzoOoz-2575",2,1
"277",6,0.5,"3.8%","16.67 ","5.67 ","02:04 ","12,438 ","8.33 ","0.17 ","37% ","24,030 ","2.17 ","2.83 ","7.17 ",2,"0.67 ",2.33,"0.83 ","0.83 ","0.67 ","LmAzoOoz-2575",3,3
"278",3,0.6667,"15.2%","28.33 ","16.33 ","03:30 ","15,198 ","11.00 ","1.33 ","48% ","17,981 ","5.00 ","5.33 ","10.00 ",2.58,"1.00 ",2.67,"1.67 ","0.67 ","0.67 ","Doni-21564",2,1
"279",2,1,"10.2%","23.50 ","5.50 ","02:37 ","17,639 ","11.50 ","0.00 ","36% ","17,658 ","3.00 ","5.50 ","8.50 ",2.04,"0.50 ",2.5,"1.00 ","0.50 ","1.00 ","Doni-21564",2,0
"280",16,0.4,"11.1%","24.44 ","10.75 ","02:25 ","15,528 ","10.75 ","0.56 ","40% ","19,759 ","2.44 ","5.75 ","9.44 ",2.27,"0.31 ",3.25,"0.88 ","1.19 ","1.19 ","Doni-21564",6,10
"281",8,0.375,"16.1%","23.25 ","8.62 ","02:16 ","13,500 ","8.12 ","0.62 ","44% ","18,855 ","3.00 ","5.12 ","6.88 ",2.86,"0.38 ",3.12,"1.12 ","1.12 ","0.88 ","Doni-21564",3,5
"282",3,0.6667,"6.5%","35.00 ","12.67 ","03:54 ","23,593 ","16.67 ","0.33 ","45% ","28,991 ","7.33 ","8.33 ","15.33 ",2.1,"0.00 ",3.67,"0.67 ","1.00 ","2.33 ","Doni-21564",2,1
"283",1,0,"15.2%","8.00 ","2.00 ","01:20 ","7,994 ","7.00 ","0.00 ","38% ","14,162 ","0.00 ","0.00 ","3.00 ",1.14,"0.00 ",2,"0.00 ","1.00 ","0.00 ","Doni-21564",0,1
"284",11,0.6364,"5.1%","17.00 ","7.55 ","02:37 ","9,119 ","7.27 ","0.73 ","51% ","18,334 ","2.64 ","3.18 ","6.91 ",2.34,"0.27 ",1.45,"0.55 ","0.45 ","0.55 ","Reinhardt-11780",7,4
"285",15,0.4,"7.7%","19.20 ","7.53 ","02:30 ","11,985 ","9.53 ","0.73 ","46% ","22,049 ","3.20 ","3.40 ","6.40 ",2.01,"0.53 ",2.47,"0.87 ","0.93 ","0.60 ","Reinhardt-11780",6,9
"286",1,1,"4.0%","28.00 ","10.00 ","03:07 ","13,139 ","11.00 ","0.00 ","46% ","29,805 ","3.00 ","4.00 ","11.00 ",2.55,"1.00 ",2,"1.00 ","1.00 ","0.00 ","Reinhardt-11780",1,0
"287",7,0.8571,"12.5%","27.14 ","13.14 ","03:08 ","14,494 ","11.57 ","0.14 ","49% ","19,744 ","3.86 ","4.43 ","10.43 ",2.35,"0.57 ",2.71,"1.29 ","1.14 ","0.29 ","Reinhardt-11780",6,1
"288",13,0.8333,"10.0%","24.62 ","11.92 ","02:39 ","13,576 ","10.23 ","0.85 ","46% ","20,796 ","4.00 ","5.46 ","7.77 ",2.41,"0.31 ",2.08,"0.54 ","1.00 ","0.62 ","Reinhardt-11780",11,2
"289",17,0.6875,"9.9%","22.82 ","7.88 ","02:07 ","11,405 ","10.18 ","0.82 ","51% ","16,105 ","4.00 ","5.65 ","7.59 ",2.24,"0.35 ",2.35,"0.94 ","0.59 ","0.88 ","Reinhardt-11780",12,5
"290",9,0.6667,"8.8%","18.78 ","7.89 ","01:47 ","10,883 ","9.22 ","1.00 ","55% ","17,558 ","2.89 ","4.78 ","7.56 ",2.04,"0.67 ",2.56,"0.67 ","0.67 ","1.22 ","Reinhardt-11780",6,3
"291",12,0.6667,"6.5%","21.08 ","7.25 ","02:13 ","12,724 ","9.75 ","0.50 ","43% ","19,136 ","3.25 ","3.83 ","8.42 ",2.16,"0.25 ",2.5,"0.67 ","1.08 ","0.92 ","Jonni3boy-1582",8,4
"292",2,0.5,"1.7%","15.50 ","6.50 ","00:58 ","7,774 ","6.50 ","0.50 ","42% ","11,341 ","3.50 ","4.50 ","6.50 ",2.38,"0.00 ",3,"1.00 ","0.00 ","1.50 ","Jonni3boy-1582",1,1
"293",5,0.8,"20.6%","33.20 ","15.00 ","03:31 ","17,000 ","10.00 ","0.20 ","43% ","20,144 ","4.20 ","7.20 ","12.80 ",3.32,"0.80 ",4.2,"1.40 ","1.40 ","1.40 ","Jonni3boy-1582",4,1
"294",2,0.5,"20.6%","34.00 ","16.50 ","03:33 ","17,462 ","9.50 ","0.50 ","49% ","17,744 ","6.50 ","7.50 ","11.00 ",3.58,"0.50 ",4,"3.00 ","1.00 ","0.50 ","Jonni3boy-1582",1,1
"295",14,0.7143,"8.6%","21.21 ","7.79 ","02:30 ","11,653 ","8.07 ","0.86 ","47% ","14,386 ","3.43 ","5.07 ","7.71 ",2.63,"0.50 ",2.64,"1.14 ","0.79 ","0.64 ","Jonni3boy-1582",10,4
"296",7,0.1429,"7.0%","16.14 ","6.86 ","02:01 ","10,438 ","8.71 ","0.29 ","47% ","17,289 ","3.00 ","3.57 ","7.29 ",1.85,"0.14 ",2.29,"0.71 ","0.57 ","1.00 ","Jonni3boy-1582",1,6
"297",6,0.6,"11.0%","24.17 ","6.33 ","01:52 ","14,597 ","9.00 ","0.33 ","52% ","21,750 ","3.83 ","6.33 ","10.33 ",2.69,"0.33 ",3,"1.33 ","0.83 ","1.00 ","Reinforce",4,2
"298",3,0.6667,"2.5%","17.33 ","5.67 ","01:45 ","13,171 ","8.00 ","0.67 ","31% ","22,081 ","2.67 ","4.67 ","4.67 ",2.17,"0.33 ",2.67,"1.00 ","1.33 ","0.67 ","Reinforce",2,1
"299",5,0.75,"13.1%","19.60 ","10.20 ","02:16 ","13,772 ","7.20 ","0.20 ","55% ","22,854 ","3.20 ","4.40 ","8.60 ",2.72,"0.20 ",2.8,"1.40 ","0.20 ","1.00 ","Reinforce",4,1
"300",5,0.2,"10.5%","26.80 ","8.60 ","02:58 ","17,283 ","12.00 ","0.20 ","38% ","26,524 ","4.80 ","5.00 ","10.40 ",2.23,"0.40 ",3.6,"1.20 ","1.60 ","0.80 ","Reinforce",1,4
"301",7,0.4286,"9.8%","16.86 ","6.14 ","01:44 ","12,010 ","8.14 ","0.14 ","53% ","17,669 ","3.86 ","3.43 ","5.86 ",2.07,"0.29 ",2.57,"0.86 ","0.43 ","1.29 ","Reinforce",3,4
"302",10,0.8,"11.4%","22.00 ","9.00 ","02:29 ","13,024 ","6.20 ","0.50 ","43% ","21,468 ","3.90 ","6.00 ","9.50 ",3.55,"0.70 ",3.1,"1.20 ","0.80 ","1.00 ","Reinforce",8,2
"303",4,0.5,"13.9%","24.50 ","12.00 ","03:04 ","17,956 ","10.75 ","0.25 ","39% ","31,082 ","2.75 ","4.75 ","9.00 ",2.28,"0.50 ",4,"0.75 ","2.75 ","0.75 ","Frost-21429",2,2
"304",5,0.6,"20.2%","22.80 ","7.40 ","01:59 ","13,855 ","6.20 ","0.00 ","39% ","17,773 ","2.20 ","3.60 ","8.80 ",3.68,"0.40 ",3.2,"1.40 ","1.20 ","0.40 ","Frost-21429",3,2
"305",3,0.6667,"10.8%","34.33 ","19.67 ","05:45 ","24,751 ","16.67 ","0.00 ","43% ","42,454 ","4.00 ","11.00 ","13.67 ",2.06,"0.67 ",3.33,"1.00 ","1.67 ","1.00 ","Frost-21429",2,1
"306",5,0.8,"15.6%","25.80 ","15.00 ","02:42 ","15,605 ","7.80 ","0.40 ","40% ","20,708 ","3.20 ","5.60 ","12.20 ",3.31,"0.20 ",2.8,"0.80 ","1.40 ","0.40 ","Frost-21429",4,1
"307",3,0,"20.6%","23.67 ","11.00 ","02:55 ","20,641 ","13.00 ","0.33 ","41% ","28,459 ","1.33 ","9.67 ","11.33 ",1.82,"0.33 ",4,"2.00 ","1.33 ","1.00 ","Frost-21429",0,3
"308",4,0.5,"2.7%","19.50 ","10.50 ","03:37 ","16,739 ","10.00 ","0.25 ","46% ","28,752 ","2.25 ","4.75 ","10.25 ",1.95,"0.75 ",3.75,"1.75 ","0.75 ","1.00 ","Frost-21429",2,2
"309",5,0.25,"9.9%","21.20 ","8.00 ","02:08 ","13,619 ","13.00 ","0.40 ","45% ","17,740 ","3.20 ","3.20 ","8.80 ",1.63,"0.00 ",2.4,"1.20 ","0.60 ","0.60 ","phaqlow-1737",1,4
"310",13,0.6154,"19.1%","27.77 ","11.15 ","02:01 ","17,589 ","10.46 ","0.54 ","43% ","19,947 ","3.31 ","6.85 ","11.54 ",2.65,"0.77 ",3,"1.31 ","0.77 ","0.92 ","Prime-22787",8,5
"311",8,0.25,"7.0%","19.12 ","7.38 ","02:13 ","11,090 ","10.00 ","0.12 ","43% ","19,065 ","2.38 ","4.12 ","8.62 ",1.91,"0.62 ",2.75,"0.88 ","1.00 ","0.75 ","Prime-22787",2,6
"312",4,1,"7.4%","31.00 ","12.00 ","02:44 ","19,518 ","10.00 ","0.50 ","45% ","26,560 ","6.50 ","6.50 ","14.00 ",3.1,"0.25 ",3.25,"1.00 ","1.00 ","1.25 ","Prime-22787",4,0
"313",4,0.5,"14.4%","27.00 ","10.25 ","02:50 ","15,473 ","7.75 ","1.00 ","44% ","22,370 ","3.75 ","3.50 ","12.25 ",3.48,"1.00 ",3.5,"0.75 ","1.75 ","1.25 ","Prime-22787",2,2
"314",6,0.8333,"14.8%","21.67 ","7.33 ","01:30 ","13,897 ","9.67 ","0.00 ","47% ","17,464 ","3.17 ","3.50 ","9.17 ",2.24,"0.33 ",3.17,"1.50 ","0.83 ","1.00 ","Prime-22787",5,1
"315",1,0,"0.0%","7.00 ","3.00 ","00:41 ","3,575 ","4.00 ","0.00 ","0% ","6,926 ","0.00 ","2.00 ","1.00 ",1.75,"0.00 ",1,"0.00 ","0.00 ","0.00 ","BigShatter-21801",0,1
"316",4,0.75,"9.1%","20.00 ","7.50 ","03:03 ","17,669 ","10.00 ","0.00 ","40% ","20,303 ","3.50 ","4.75 ","8.00 ",2,"0.25 ",3.5,"1.00 ","1.50 ","1.50 ","BigShatter-21801",3,1
"317",4,1,"10.3%","20.00 ","8.50 ","02:07 ","11,315 ","7.00 ","0.25 ","46% ","19,874 ","1.75 ","4.00 ","6.75 ",2.86,"0.25 ",2.75,"0.75 ","0.75 ","0.75 ","BigShatter-21801",4,0
"318",7,0.4286,"9.4%","18.14 ","7.57 ","01:58 ","12,206 ","10.57 ","0.43 ","49% ","20,876 ","2.57 ","3.71 ","6.00 ",1.72,"0.14 ",2.43,"1.00 ","0.71 ","1.00 ","BigShatter-21801",3,4
"319",4,1,"10.0%","30.75 ","14.50 ","03:27 ","16,412 ","9.75 ","0.75 ","33% ","22,909 ","1.25 ","6.25 ","11.75 ",3.15,"0.75 ",3.25,"0.50 ","1.25 ","1.00 ","BigShatter-21801",4,0
"320",7,0.7143,"6.0%","18.29 ","7.43 ","02:46 ","12,311 ","8.71 ","0.57 ","45% ","15,768 ","1.86 ","3.71 ","5.71 ",2.1,"0.43 ",2.71,"1.43 ","0.71 ","0.71 ","BigShatter-21801",5,2
"321",2,0.5,"2.3%","25.00 ","7.50 ","04:23 ","18,854 ","11.00 ","1.00 ","44% ","24,842 ","5.00 ","4.50 ","9.00 ",2.27,"0.00 ",2,"0.50 ","0.50 ","0.50 ","Noserino-2137",1,1
"322",5,0.4,"15.5%","23.60 ","10.80 ","02:39 ","14,062 ","9.80 ","0.60 ","41% ","22,281 ","3.60 ","5.20 ","8.80 ",2.41,"0.40 ",3.2,"0.60 ","2.00 ","0.80 ","Noserino-2137",2,3
"323",11,0.9091,"9.8%","26.55 ","11.27 ","02:42 ","16,047 ","9.91 ","0.36 ","41% ","20,964 ","3.82 ","4.36 ","10.36 ",2.68,"0.27 ",2.45,"0.82 ","0.73 ","0.91 ","Noserino-2137",10,1
"324",5,0.75,"10.3%","22.60 ","7.20 ","02:15 ","14,827 ","10.00 ","0.60 ","44% ","18,660 ","2.40 ","5.00 ","10.20 ",2.26,"0.40 ",3.2,"1.00 ","1.60 ","0.60 ","Noserino-2137",4,1
"325",8,0.5,"4.6%","15.50 ","6.88 ","02:01 ","11,461 ","10.38 ","0.12 ","40% ","14,821 ","2.38 ","2.38 ","6.62 ",1.49,"0.50 ",2.62,"0.75 ","0.75 ","1.12 ","Noserino-2137",4,4
"326",3,0.3333,"8.1%","16.00 ","6.00 ","01:17 ","11,677 ","9.67 ","0.00 ","31% ","15,373 ","3.00 ","3.67 ","5.67 ",1.66,"0.00 ",2,"0.67 ","0.67 ","0.67 ","Noserino-2137",1,2
"327",15,0.5333,"22.5%","27.13 ","11.33 ","02:38 ","18,488 ","9.13 ","0.20 ","33% ","25,549 ","3.73 ","6.87 ","11.00 ",2.97,"0.20 ",3.53,"1.33 ","1.33 ","0.93 ","BonoBono-11901",8,7
"328",13,0.6154,"12.7%","22.69 ","8.00 ","01:45 ","14,403 ","7.15 ","0.15 ","43% ","22,342 ","3.54 ","4.85 ","9.15 ",3.17,"0.46 ",2.46,"0.46 ","1.00 ","0.92 ","BonoBono-11901",8,5
"329",8,0.5,"12.2%","22.25 ","5.88 ","02:00 ","17,471 ","10.12 ","0.38 ","44% ","22,536 ","3.62 ","4.50 ","8.50 ",2.2,"0.12 ",2.88,"0.75 ","1.50 ","0.50 ","BonoBono-11901",4,4
"330",2,0,"16.8%","24.00 ","9.00 ","04:58 ","15,387 ","8.00 ","0.50 ","52% ","18,817 ","3.00 ","3.50 ","9.50 ",3,"0.00 ",2.5,"1.00 ","1.00 ","1.00 ","BonoBono-11901",0,2
"331",3,0.3333,"19.8%","25.33 ","10.67 ","02:47 ","16,208 ","8.00 ","0.33 ","46% ","22,245 ","3.67 ","7.00 ","9.33 ",3.17,"0.33 ",4.33,"2.33 ","0.33 ","1.33 ","BonoBono-11901",1,2
"332",7,0.7143,"20.6%","25.57 ","9.00 ","02:04 ","17,118 ","5.43 ","0.00 ","41% ","17,706 ","2.71 ","5.43 ","10.57 ",4.71,"0.00 ",2.86,"1.29 ","1.29 ","0.43 ","BonoBono-11901",5,2
"333",3,1,"5.1%","24.67 ","11.33 ","03:27 ","12,346 ","5.33 ","0.00 ","32% ","20,130 ","1.67 ","5.00 ","10.33 ",4.62,"0.33 ",1.67,"0.67 ","0.67 ","0.33 ","ChronOwO-1704",3,0
"334",1,0,"0.0%","19.00 ","4.00 ","02:00 ","11,558 ","9.00 ","0.00 ","58% ","17,385 ","4.00 ","1.00 ","6.00 ",2.11,"0.00 ",2,"0.00 ","1.00 ","0.00 ","ChronOwO-1704",0,1
"335",11,0.6,"13.7%","27.18 ","9.45 ","02:59 ","17,238 ","10.18 ","0.09 ","40% ","28,221 ","3.45 ","5.09 ","10.55 ",2.67,"0.55 ",2.64,"0.64 ","1.18 ","0.82 ","ChronOwO-1704",7,4
"336",2,1,"6.2%","32.00 ","12.50 ","03:16 ","19,605 ","9.50 ","0.00 ","42% ","30,963 ","5.50 ","4.00 ","10.50 ",3.37,"0.00 ",4.5,"2.00 ","0.50 ","2.00 ","ChronOwO-1704",2,0
"337",4,0.5,"15.9%","29.00 ","10.25 ","02:25 ","15,421 ","8.50 ","0.00 ","49% ","18,343 ","2.75 ","8.00 ","11.25 ",3.41,"0.25 ",3.25,"0.75 ","1.75 ","1.00 ","ChronOwO-1704",2,2
"338",6,0.3333,"10.8%","27.83 ","9.00 ","03:02 ","16,592 ","10.00 ","0.50 ","44% ","21,266 ","2.67 ","6.83 ","10.83 ",2.78,"0.50 ",3.17,"1.00 ","0.83 ","1.33 ","ChronOwO-1704",2,4
"339",10,0.6667,"5.9%","20.10 ","7.10 ","02:06 ","13,767 ","9.30 ","0.30 ","40% ","21,396 ","2.30 ","3.00 ","6.80 ",2.16,"0.50 ",3,"1.10 ","0.80 ","1.10 ","Lycanthrope-11146",7,3
"340",4,0.25,"14.0%","15.25 ","3.00 ","00:38 ","10,144 ","9.00 ","0.00 ","31% ","14,753 ","1.50 ","4.00 ","6.50 ",1.69,"0.00 ",2.5,"0.50 ","0.25 ","1.75 ","Lycanthrope-11146",1,3
"341",6,0.5,"6.1%","17.33 ","7.33 ","01:53 ","13,460 ","10.00 ","0.33 ","44% ","15,105 ","1.17 ","3.17 ","5.17 ",1.73,"0.00 ",2,"0.83 ","0.50 ","0.83 ","Lycanthrope-11146",3,3
"342",2,1,"11.8%","26.00 ","6.00 ","02:42 ","13,372 ","10.50 ","0.00 ","37% ","22,730 ","3.00 ","9.00 ","6.50 ",2.48,"0.50 ",2.5,"0.50 ","0.00 ","1.50 ","Lycanthrope-11146",2,0
"343",2,1,"3.9%","22.00 ","8.50 ","02:11 ","13,422 ","9.00 ","0.50 ","32% ","23,242 ","1.50 ","7.50 ","7.00 ",2.44,"1.00 ",3.5,"2.00 ","0.00 ","1.00 ","Lycanthrope-11146",2,0
"344",1,1,"14.0%","29.00 ","14.00 ","03:38 ","19,147 ","9.00 ","0.00 ","41% ","21,841 ","3.00 ","9.00 ","11.00 ",3.22,"0.00 ",4,"2.00 ","0.00 ","2.00 ","Lycanthrope-11146",1,0
"345",25,0.5,"7.6%","20.52 ","8.32 ","02:40 ","13,284 ","11.76 ","0.28 ","41% ","24,034 ","2.44 ","3.68 ","8.92 ",1.74,"0.60 ",2.24,"0.72 ","0.84 ","0.68 ","Kawaii-2136",12,13
"346",6,1,"11.3%","28.00 ","9.83 ","02:44 ","16,685 ","8.83 ","0.67 ","52% ","22,527 ","2.83 ","3.83 ","10.00 ",3.17,"0.33 ",3,"0.67 ","1.50 ","0.67 ","crystaaal-2162",6,0
"347",6,0.6,"27.3%","28.17 ","10.50 ","02:44 ","12,831 ","8.17 ","0.67 ","48% ","16,378 ","3.50 ","6.00 ","10.33 ",3.45,"0.17 ",3.17,"1.17 ","0.83 ","1.00 ","crystaaal-2162",4,2
"348",3,0.3333,"7.0%","23.33 ","6.00 ","01:42 ","13,720 ","11.67 ","0.33 ","40% ","21,634 ","3.33 ","5.00 ","7.67 ",2,"0.33 ",2.67,"1.67 ","1.00 ","0.33 ","crystaaal-2162",1,2
"349",33,0.7188,"12.6%","21.73 ","7.18 ","01:49 ","12,074 ","8.48 ","0.55 ","48% ","17,706 ","2.76 ","5.33 ","7.55 ",2.56,"0.39 ",2.79,"0.88 ","1.15 ","0.76 ","crystaaal-2162",24,9
"350",7,0.2857,"9.8%","18.57 ","5.71 ","01:48 ","11,576 ","10.14 ","0.43 ","48% ","15,881 ","2.86 ","4.29 ","6.14 ",1.83,"0.29 ",2,"0.71 ","0.29 ","1.00 ","crystaaal-2162",2,5
"351",3,0.3333,"11.8%","24.00 ","7.00 ","01:53 ","16,243 ","14.33 ","0.33 ","49% ","27,065 ","3.00 ","3.00 ","9.00 ",1.67,"0.67 ",3.33,"1.00 ","0.67 ","1.33 ","crystaaal-2162",1,2
"352",1,1,"13.7%","29.00 ","13.00 ","02:41 ","13,884 ","6.00 ","1.00 ","55% ","15,101 ","5.00 ","6.00 ","10.00 ",4.83,"1.00 ",3,"1.00 ","1.00 ","1.00 ","Sleeper-11889",1,0
"353",1,1,"0.6%","36.00 ","11.00 ","05:25 ","27,405 ","17.00 ","1.00 ","22% ","43,904 ","5.00 ","11.00 ","16.00 ",2.12,"0.00 ",3,"2.00 ","1.00 ","0.00 ","Sleeper-11889",1,0
"354",1,1,"0.0%","7.00 ","4.00 ","02:25 ","5,967 ","4.00 ","0.00 ","14% ","9,513 ","0.00 ","1.00 ","6.00 ",1.75,"0.00 ",2,"0.00 ","1.00 ","1.00 ","Sleeper-11889",1,0
"355",9,0.375,"15.2%","27.44 ","11.44 ","03:16 ","19,048 ","12.00 ","0.67 ","49% ","25,675 ","4.22 ","5.33 ","11.56 ",2.29,"0.22 ",3,"1.44 ","0.89 ","0.67 ","Sleeper-11889",3,6
"356",2,1,"13.9%","38.00 ","17.50 ","05:34 ","27,518 ","13.50 ","0.00 ","46% ","33,770 ","4.50 ","7.00 ","15.00 ",2.81,"1.00 ",5,"3.50 ","1.50 ","0.50 ","Sleeper-11889",2,0
"357",4,0.5,"18.0%","24.25 ","10.75 ","02:34 ","15,620 ","10.25 ","0.00 ","45% ","27,589 ","4.25 ","4.00 ","9.00 ",2.37,"0.75 ",2.5,"0.50 ","1.00 ","0.75 ","Sleeper-11889",2,2
"358",2,0.5,"10.4%","22.00 ","10.50 ","02:03 ","16,772 ","9.50 ","0.50 ","59% ","23,000 ","4.00 ","3.00 ","11.50 ",2.32,"0.50 ",3.5,"0.50 ","1.50 ","2.00 ","Dinkelhuber-2182",1,1
"359",4,0.25,"4.3%","17.25 ","5.25 ","02:36 ","14,317 ","10.00 ","1.00 ","43% ","23,212 ","2.50 ","2.75 ","6.75 ",1.73,"0.75 ",2.5,"1.75 ","0.00 ","0.50 ","Dinkelhuber-2182",1,3
"360",1,1,"7.1%","34.00 ","11.00 ","01:46 ","21,534 ","11.00 ","0.00 ","32% ","23,633 ","2.00 ","5.00 ","16.00 ",3.09,"0.00 ",2,"1.00 ","1.00 ","1.00 ","Dinkelhuber-2182",1,0
"361",5,0.6,"11.8%","24.00 ","10.20 ","02:37 ","13,682 ","8.20 ","0.80 ","42% ","19,069 ","3.60 ","3.40 ","8.20 ",2.93,"0.40 ",3,"1.20 ","1.20 ","0.40 ","Dinkelhuber-2182",3,2
"362",7,0.5714,"19.2%","22.86 ","10.00 ","01:52 ","13,176 ","8.14 ","0.43 ","40% ","19,934 ","3.57 ","3.57 ","8.57 ",2.81,"0.29 ",3,"1.00 ","1.14 ","1.00 ","Dinkelhuber-2182",4,3
